manufacturer,type,model,option,disp,hp,city_mpg,high_mpg,price,fuel,weight,class,origin
쌍용자동차,준대형,G4 렉스턴,2.2 디젤 4WD,2157,187,9,11.8,3631,디젤,2170,SUV,kor
현대자동차,소형,코나 하이브리드,1.6 HEV,1580,141,20.1,18.4,2373,하이브리드,1395,SUV,kor
현대자동차,소형,코나,1.6 가솔린,1591,177,11.4,14.9,1914,가솔린,1320,SUV,kor
현대자동차,소형,코나,1.6 가솔린 4WD,1591,177,11.3,10.1,2101,가솔린,1400,SUV,kor
현대자동차,소형,코나,1.6 디젤,1598,136,16.7,18.6,2105,디젤,1370,SUV,kor
현대자동차,소형,코나,1.6 디젤 4WD,1598,136,15,16.7,2292,디젤,1455,SUV,kor
기아자동차,준중형,스포티지,2.0 가솔린,1999,152,9.6,11.9,2342,가솔린,1495,SUV,kor
기아자동차,준중형,스포티지,D 1.6 디젤,1598,136,15.5,17.5,2381,디젤,1575,SUV,kor
기아자동차,준중형,스포티지,R 2.0 디젤,1995,186,13.2,16.2,2430,디젤,1670,SUV,kor
기아자동차,준중형,스포티지,D 1.6 디젤 4WD,1598,136,14,15.4,2587,디젤,1640,SUV,kor
기아자동차,준중형,스포티지,R 2.0 디젤 4WD,1995,186,12,14.2,2636,디젤,1720,SUV,kor
기아자동차,소형,셀토스,1.6 가솔린 터보,1591,177,11.5,14.4,1929,가솔린,1345,SUV,kor
기아자동차,소형,셀토스,1.6 가솔린 터보 4WD,1591,177,10.1,12.5,2106,가솔린,1425,SUV,kor
기아자동차,소형,셀토스,1.6 디젤,1598,136,16.7,18.7,2120,디젤,1385,SUV,kor
기아자동차,소형,셀토스,1.6 디젤 4WD,1598,136,15.2,17.2,2297,디젤,1470,SUV,kor
현대자동차,소형,베뉴,1.6 가솔린,1598,123,12.7,15.2,1473,가솔린,1155,SUV,kor
르노삼성,중형,QM6,2.0 LPe,1998,140,8.1,10.2,2376,LPG,,SUV,kor
르노삼성,중형,QM6,2.0 GDe,1997,144,11.1,13.5,2445,가솔린,,SUV,kor
르노삼성,중형,QM6,1.7 dCi,1749,150,13.1,16.3,2725,디젤,1700,SUV,kor
르노삼성,중형,QM6,2.0 dCi,1997,190,11.8,14,3270,디젤,1785,SUV,kor
쌍용자동차,소형,티볼리,1.5 가솔린 터보,1497,163,10.6,13,1678,가솔린,1305,SUV,kor
쌍용자동차,소형,티볼리,1.5 가솔린 터보 AWD,1497,163,9.2,11.8,2015,가솔린,1470,SUV,kor
쌍용자동차,소형,티볼리,1.6 디젤,1597,136,13.6,15.9,2055,디젤,1475,SUV,kor
쌍용자동차,소형,티볼리,1.6 디젤 AWD,1597,136,12.5,15.4,2232,디젤,1530,SUV,kor
현대자동차,중형,싼타페,2.0 가솔린 터보,1998,235,8.4,11.4,2695,가솔린,1680,SUV,kor
현대자동차,중형,싼타페,2.0 가솔린 터보 AWD,1998,235,7.9,10.9,2891,가솔린,1745,SUV,kor
현대자동차,중형,싼타페,2.0 디젤,1995,186,12.7,15.4,2950,디젤,1795,SUV,kor
현대자동차,중형,싼타페,2.2 디젤,2199,202,12.4,15.4,2975,디젤,1820,SUV,kor
현대자동차,중형,싼타페,2.0 디젤 AWD,1995,186,11.3,13.9,3146,디젤,1860,SUV,kor
현대자동차,중형,싼타페,2.2 디젤 AWD,2199,202,11.3,13.8,3171,디젤,1885,SUV,kor
기아자동차,준중형,니로 하이브리드,1.6 HEV,1580,149,20.1,18.7,2420,하이브리드,1425,SUV,kor
기아자동차,준중형,니로 플러그인 하이브리드,1.6 가솔린 PHEV,1580,166,19.2,17.8,3452,하이브리드,1550,SUV,kor
쌍용자동차,준중형,코란도,1.6 디젤,1597,136,13.2,15.5,2216,디젤,1525,SUV,kor
쌍용자동차,준중형,코란도,1.5 가솔린,1497,170,10.4,12.5,2256,가솔린,1470,SUV,kor
쌍용자동차,준중형,코란도,1.5 가솔린 AWD,1497,170,9.1,11.6,2466,가솔린,1535,SUV,kor
쌍용자동차,준중형,코란도,1.6 디젤 AWD,1597,136,12.3,14.9,2616,디젤,1640,SUV,kor
기아자동차,중형,쏘렌토,2.0 가솔린,1998,240,8.2,11.9,2763,가솔린,1770,SUV,kor
기아자동차,중형,쏘렌토,2.0 디젤,1995,186,12.7,15.4,2788,디젤,1825,SUV,kor
기아자동차,중형,쏘렌토,2.2 디젤,2199,202,12.5,15.3,2842,디젤,1840,SUV,kor
기아자동차,중형,쏘렌토,2.0 가솔린 4WD,1998,240,7.6,10.4,2969,가솔린,1845,SUV,kor
기아자동차,중형,쏘렌토,2.0 디젤 4WD,1995,186,11.5,13.7,3190,디젤,1905,SUV,kor
기아자동차,중형,쏘렌토,2.2 디젤 4WD,2199,202,11.4,14,3244,디젤,1920,SUV,kor
기아자동차,소형,쏘울 부스터,1.6 가솔린 터보,1591,204,11.5,13.6,1914,가솔린,1350,SUV,kor
현대자동차,준대형,팰리세이드,3.8 가솔린,3778,295,8.5,10.4,3475,가솔린,1880,SUV,kor
현대자동차,준대형,팰리세이드,2.2 디젤,2199,202,11.9,13.8,3622,디젤,1955,SUV,kor
현대자동차,준대형,팰리세이드,3.8 가솔린 AWD,3778,295,7.9,10.6,3706,가솔린,1950,SUV,kor
현대자동차,준대형,팰리세이드,2.2 디젤 AWD,2199,202,10.9,13,3853,디젤,2020,SUV,kor
쌍용자동차,소형,티볼리 에어,1.6 가솔린,1597,126,9.7,12.5,1876,가솔린,1355,SUV,kor
쌍용자동차,소형,티볼리 에어,1.6 디젤,1597,115,11.8,15.7,1963,디젤,1410,SUV,kor
쌍용자동차,소형,티볼리 에어,1.6 가솔린 4WD,1597,126,8.9,11.7,2053,가솔린,1455,SUV,kor
쌍용자동차,소형,티볼리 에어,1.6 디젤 4WD,1597,115,11.4,15,2297,디젤,1535,SUV,kor
기아자동차,소형,스토닉,1.4 가솔린,1368,100,11.5,14.2,1625,가솔린,1150,SUV,kor
기아자동차,소형,스토닉,1.0 가솔린 터보,998,120,12.5,14.9,1914,가솔린,1205,SUV,kor
현대자동차,준중형,투싼,1.6 가솔린,1591,177,10.6,12.4,2351,가솔린,1515,SUV,kor
현대자동차,준중형,투싼,1.6 디젤,1598,136,14.7,16.2,2381,디젤,1580,SUV,kor
현대자동차,준중형,투싼,2.0 디젤,1995,186,12.9,15.1,2430,디젤,1670,SUV,kor
현대자동차,준중형,투싼,1.6 가솔린 AWD,1591,177,9.8,11.3,2547,가솔린,1580,SUV,kor
현대자동차,준중형,투싼,1.6 디젤 AWD,1598,136,13.4,14.5,2577,디젤,1645,SUV,kor
현대자동차,준중형,투싼,2.0 디젤 AWD,1995,186,11.6,13.6,2626,디젤,1720,SUV,kor
쉐보레,소형,트랙스,1.4 가솔린 터보,1362,140,10.7,13.3,1634,가솔린,1350,SUV,kor
쉐보레,소형,트랙스,1.6 디젤,1598,135,12.7,16.2,2027,디젤,1415,SUV,kor
BMW,준대형,X5,30d xDrive,2993,265,9.2,11.1,9790,디젤,2110,SUV,nonkor
BMW,준대형,X5,M50d,2993,400,9.2,11.1,13860,디젤,2275,SUV,nonkor
BMW,대형,X7,xDrive 30d 디자인 퓨어 엑셀런스,2993,265,8.7,10.6,12290,디젤,2370,SUV,nonkor
BMW,대형,X7,xDrive 40i 디자인 퓨어 엑셀런스,2998,340,7.5,9.2,12490,가솔린,232,SUV,nonkor
BMW,대형,X7,xDrive 30d M 스포츠,2993,265,8.7,10.6,12780,디젤,2370,SUV,nonkor
BMW,대형,X7,xDrive M50d,2993,400,8.7,10.6,16240,디젤,2460,SUV,nonkor
BMW,중형,X4,20d xDrive,1995,190,10.7,12.7,6920,디젤,1910,SUV,nonkor
BMW,중형,X4,M40d xDrive,2993,326,9.6,12.4,9150,디젤,2025,SUV,nonkor
DS,중형,7 크로스백,2.0 디젤,1997,177,11.7,14.4,5190,디젤,1725,SUV,nonkor
닛산,준중형,엑스트레일,2.5 가솔린,2488,172,9.9,12.9,3460,가솔린,1615,SUV,nonkor
닛산,준중형,엑스트레일,2.5 가솔린 4WD,2488,172,9.6,12,3750,가솔린,1670,SUV,nonkor
람보르기니,대형,우루스,4.0 가솔린,3996,650,,,25000,가솔린,2200,SUV,nonkor
랜드로버,준중형,레인지로버 이보크,D150,1994,150,11.2,14.6,6800,디젤,1891,SUV,nonkor
랜드로버,준중형,레인지로버 이보크,P250,1998,249,,,7390,가솔린,1893,SUV,nonkor
랜드로버,준중형,레인지로버 이보크,D180,1994,180,10.8,13.5,7680,디젤,1891,SUV,nonkor
랜드로버,준대형,레인지로버 스포츠 SVR,5.0SC,5000,575,5.1,7.8,19020,가솔린,2445,SUV,nonkor
랜드로버,준대형,레인지로버 스포츠,3.0SC,2995,340,6.4,9.2,14440,가솔린,2395,SUV,nonkor
랜드로버,준대형,레인지로버 스포츠,SDV6,2993,306,9.6,12.5,13200,디젤,2315,SUV,nonkor
랜드로버,중형,레인지로버 벨라,D240,1999,240,10.5,11.4,9590,디젤,,SUV,nonkor
랜드로버,중형,레인지로버 벨라,D240 R-DYNAMIC,1999,240,10.5,11.4,10640,디젤,,SUV,nonkor
