manufacturer,type,model,option,disp,hp,city_mpg,high_mpg,price,fuel,weight,class,origin
메르세데스-벤츠,준대형,E 클래스,E 300,1991,245,9.6,12.6,6350,가솔린,1740,세단,nonkor
메르세데스-벤츠,준대형,E 클래스,E 220d,1950,194,13.1,15.7,6870,디젤,1770,세단,nonkor
메르세데스-벤츠,준대형,E 클래스,E 220d 4MATIC,1950,194,12.7,15,7390,디젤,1825,세단,nonkor
메르세데스-벤츠,준대형,E 클래스,E 300 4MATIC,1991,245,9.3,12,7970,가솔린,1790,세단,nonkor
메르세데스-벤츠,준대형,E 클래스,E 450 4MATIC,2996,362,7.8,10.9,10160,가솔린,1790,세단,nonkor
메르세데스-벤츠,중형,C클래스,C 220d,1950,194,13.2,16.3,5530,디젤,1650,세단,nonkor
메르세데스-벤츠,중형,C클래스,C 220d 4MATIC,1950,194,13,15.9,6060,디젤,,세단,nonkor
벤츠,중형,C 클래스 플러그인 하이브리드,C 350e,1991,211,,,6400,하이브리드,1850,세단,nonkor
볼보,중형,S60,T5,1969,254,9.2,13.8,4760,가솔린,1659,세단,nonkor
볼보,준대형,S90 플러그인 하이브리드,T8 AWD,1969,318,9.9,12.1,9900,하이브리드,2185,세단,nonkor
볼보,준대형,S90,T5,1969,254,9.7,13.3,5930,가솔린,1775,세단,nonkor
볼보,준대형,S90,D5 AWD,1969,235,11.5,16.1,6230,디젤,1880,세단,nonkor
쉐보레,준대형,임팔라,2.5 가솔린,2457,199,9.3,12.5,3350,가솔린,1675,세단,nonkor
쉐보레,준대형,임팔라,3.6 가솔린,3564,309,7.7,12,4288,가솔린,1730,세단,nonkor
아우디,준대형,A6,40 TFSI,1984,252,10.2,12.8,5939,가솔린,1710,세단,nonkor
아우디,준대형,A6,35 TDI,1968,190,13.2,16.9,6086,디젤,1780,세단,nonkor
아우디,중형,A4,30 TDI,1968,150,14,18,4706,디젤,1600,세단,nonkor
아우디,중형,A4,35 TDI,1968,190,14,18,4982,디젤,1610,세단,nonkor
인피니티,중형,Q50 하이브리드,3.5 HEV,3498,306,11,13.4,5760,하이브리드,1812,세단,nonkor
재규어,준대형,XF,20d,1999,180,,,5920,디젤,1825,세단,nonkor
재규어,준대형,XF,25t,1999,250,,,6030,가솔린,1745,세단,nonkor
재규어,준대형,XF,20d AWD,1999,180,,,6320,디젤,1875,세단,nonkor
재규어,준대형,XF,25t AWD,1999,250,,,6430,가솔린,1850,세단,nonkor
재규어,준대형,XF,3.0 SC AWD,2995,380,,,9490,가솔린,1920,세단,nonkor
재규어,중형,XE,20d,1999,180,,,5140,디젤,1720,세단,nonkor
재규어,중형,XE,20t,1997,200,,,5180,가솔린,1611,세단,nonkor
재규어,중형,XE,20d AWD,1999,180,,,5480,디젤,1785,세단,nonkor
재규어,중형,XE,3.0SC,2995,380,,,7560,가솔린,1775,세단,nonkor
재규어,대형,XJ,3.0D SWB,2993,300,10.4,15,12810,디젤,2020,세단,nonkor
재규어,대형,XJ,3.0D LWB,2993,300,10.4,15,14650,디젤,2050,세단,nonkor
재규어,대형,XJ,3.0SC AWD,2995,340,6.8,10.4,16540,가솔린,2080,세단,nonkor
캐딜락,대형,CT6,3.6 가솔린,3649,334,,,8880,가솔린,1874,세단,nonkor
캐딜락,준대형,CTS,2.0 가솔린 터보,1998,276,,,5517,가솔린,1675,세단,nonkor
캐딜락,준대형,CTS,2.0 가솔린 터보 AWD,1998,276,,,7088,가솔린,1750,세단,nonkor
캐딜락,준대형,CTS-V,6.2 가솔린,6162,648,,,12137,가솔린,1895,세단,nonkor
캐딜락,중형,ATS-V,3.6 가솔린,3564,470,,,8020,가솔린,1735,세단,nonkor
캐딜락,중형,ATS,ATS-V 2.0 가솔린 터보,1998,272,,,4406,가솔린,1585,세단,nonkor
캐딜락,중형,ATS,2.0 가솔린 터보 AWD,1998,272,,,5450,가솔린,1690,세단,nonkor
토요타,중형,캠리 하이브리드,2.5 HEV,2487,178,17.8,17.2,3740,하이브리드,1620,세단,nonkor
토요타,중형,캠리,2.5 가솔린,2487,207,10.7,14.9,3560,가솔린,1580,세단,nonkor
토요타,준대형,아발론 하이브리드,2.5HEV,2487,178,16.7,16.4,4660,하이브리드,1660,세단,nonkor
폭스바겐,중형,아테온,2.0 TDI,1968,190,,,5225,디젤,1684,세단,nonkor
폭스바겐,중형,파사트,2.0 TSI,1984,177,10.4,15.4,3613,가솔린,1555,세단,nonkor
폭스바겐,중형,파사트 GT,2.0 TDI,1968,190,13.7,17.2,4263,디젤,1566,세단,nonkor
푸조,중형,508 GT,2.0 BlueHDi,1997,177,12,15.5,5190,디젤,1680,세단,nonkor
푸조,중형,508,1.5 BlueHDi,1499,130,13.4,16.6,3990,디젤,1575,세단,nonkor
푸조,중형,508,2.0 BlueHDi,1997,177,12,15.5,4398,디젤,1680,세단,nonkor
혼다,준중형,시빅 스포츠,1.5 가솔린 터보,1498,177,,,3290,가솔린,1345,세단,nonkor
혼다,중형,어코드 하이브리드,2.0 HEV,1993,145,19.2,18.7,4470,하이브리드,1550,세단,nonkor
혼다,중형,어코드,1.5 가솔린 터보,1498,194,12.6,15.8,3690,가솔린,1465,세단,nonkor
혼다,중형,어코드,2.0 가솔린 터보 스포츠,1996,256,9.3,13.5,4230,가솔린,1550,세단,nonkor
